,NS,surface_total_in_m2,rooms,price
4691,15,23.0,1.0,69000.0
4692,15,25.0,1.0,69000.0
4734,38,33.0,1.0,78000.0
4736,38,37.0,1.0,85000.0
4776,2,182.0,3.0,150000.0
4786,30,45.0,2.0,75000.0
4798,51,30.0,2.0,90000.0
4926,13,47.0,1.0,70000.0
4927,13,48.0,1.0,72000.0
4928,13,33.0,1.0,57000.0
4929,13,28.0,1.0,60000.0
4943,5,221.0,7.0,185000.0
4944,12,70.0,3.0,92500.0
4982,13,26.0,1.0,63000.0
5015,2,160.0,4.0,150000.0
5026,46,35.0,1.0,98900.0
5033,32,33.0,1.0,74000.0
5034,32,33.0,1.0,74000.0
5035,32,33.0,1.0,76000.0
5055,12,43.0,2.0,65000.0
5063,55,125.0,4.0,250000.0
5134,53,73.0,3.0,350000.0
5139,60,177.0,4.0,1300000.0
5161,11,120.0,3.0,210000.0
5865,37,346.0,5.0,780000.0
6607,37,190.0,3.0,220000.0
6696,6,27.0,2.0,59000.0
6785,45,60.0,2.0,79000.0
6786,26,80.0,2.0,105000.0
6787,53,39.0,2.0,115000.0
6788,41,57.0,3.0,115000.0
6923,54,330.0,5.0,480000.0
6948,51,38.0,1.0,89000.0
6967,13,45.0,2.0,116000.0
7012,13,170.0,5.0,220000.0
7027,15,33.0,1.0,74000.0
7028,15,33.0,1.0,69000.0
7029,15,33.0,1.0,71000.0
7030,15,43.0,2.0,95000.0
7031,15,43.0,2.0,98000.0
7032,15,55.0,2.0,99000.0
7033,15,60.0,2.0,99000.0
7034,15,68.0,3.0,105500.0
7035,15,65.0,3.0,122000.0
7077,13,22.0,1.0,55000.0
7078,13,28.0,1.0,55000.0
7079,13,48.0,1.0,70000.0
7080,13,52.0,1.0,75000.0
7081,13,43.0,1.0,70000.0
7082,13,46.0,1.0,75000.0
7083,13,49.0,1.0,75000.0
7084,13,50.0,1.0,75000.0
7159,56,140.0,5.0,295000.0
7160,10,140.0,5.0,295000.0
7161,51,140.0,5.0,295000.0
7184,55,44.0,2.0,178600.0
7203,49,90.0,3.0,439000.0
7240,54,185.0,5.0,450000.0
7534,49,136.0,5.0,749000.0
7543,36,35.0,2.0,55000.0
7598,54,917.0,6.0,480000.0
7609,55,180.0,4.0,380000.0
7646,16,45.0,2.0,80000.0
7754,38,47.0,1.0,85000.0
7781,27,40.0,1.0,70000.0
7875,4,55.0,2.0,70000.0
7899,13,94.0,4.0,165000.0
7931,49,58.0,1.0,168000.0
7932,49,39.0,1.0,133000.0
7933,44,56.0,2.0,158000.0
7934,46,132.0,4.0,262000.0
7935,46,137.0,4.0,260000.0
7936,49,40.0,1.0,140000.0
8076,53,43.0,1.0,170000.0
8097,39,92.0,3.0,225000.0
8124,49,90.0,2.0,130000.0
8206,34,72.0,3.0,220000.0
8209,34,72.0,3.0,220000.0
8269,36,65.0,3.0,59500.0
8272,60,150.0,3.0,750000.0
8414,32,123.0,2.0,222752.0
8419,32,65.0,2.0,205021.0
8420,32,41.0,1.0,115260.0
8421,32,41.0,1.0,102438.0
8422,32,65.0,2.0,202991.0
8423,32,65.0,2.0,202991.0
8424,32,38.0,1.0,120861.0
8425,32,88.0,3.0,249841.0
8426,32,121.0,4.0,381566.0
8427,32,121.0,4.0,381566.0
8428,32,146.0,3.0,308577.0
8429,32,199.0,4.0,404978.0
8430,32,38.0,1.0,120861.0
8431,32,89.0,3.0,253244.0
8432,32,89.0,3.0,255776.0
8443,35,353.0,5.0,320000.0
8456,53,166.0,4.0,450000.0
8474,16,63.0,3.0,122000.0
8479,12,38.0,2.0,65000.0
8528,27,33.0,1.0,66000.0
8550,16,36.0,1.0,1305000.0
8553,41,58.0,3.0,159900.0
8673,32,106.0,5.0,260000.0
8675,6,53.0,3.0,95000.0
8684,32,106.0,5.0,260000.0
8729,12,63.0,2.0,120000.0
8793,19,36.0,2.0,71900.0
8917,7,41.0,2.0,67000.0
8918,7,55.0,2.0,87000.0
8919,7,34.0,1.0,69000.0
8920,7,32.0,1.0,69000.0
8921,7,59.0,2.0,89000.0
9068,34,60.0,2.0,85000.0
9111,39,344.0,5.0,450000.0
9124,7,50.0,2.0,90000.0
9125,7,58.0,3.0,102000.0
9126,7,67.0,3.0,105000.0
9127,7,67.0,2.0,92000.0
9128,7,56.0,2.0,94000.0
9238,46,77.0,2.0,175000.0
9242,35,124.0,3.0,125000.0
9252,4,55.0,1.0,89000.0
9257,39,400.0,7.0,670000.0
9269,6,250.0,5.0,290000.0
9272,6,85.0,3.0,130000.0
9283,53,95.0,3.0,322000.0
9284,34,80.0,3.0,130000.0
9285,54,29.0,1.0,95000.0
9286,10,45.0,2.0,83500.0
9287,51,125.0,2.0,320000.0
9288,12,133.0,4.0,250000.0
9301,26,98.0,4.0,255000.0
9365,60,178.0,4.0,1200000.0
9387,20,441.0,7.0,595000.0
9410,60,42.0,1.0,205000.0
9459,19,45.0,2.0,83500.0
9465,56,125.0,2.0,320000.0
9467,49,95.0,3.0,322000.0
9468,51,317.0,5.0,580000.0
9473,19,42.0,2.0,102500.0
9475,19,45.0,2.0,100100.0
9478,49,93.0,3.0,315000.0
9487,19,43.0,2.0,100400.0
9492,16,42.0,2.0,95015.0
9493,16,45.0,2.0,97700.0
9494,16,44.0,2.0,100143.0
9495,16,41.0,2.0,99015.0
9506,4,70.0,3.0,120000.0
9554,55,92.0,3.0,378900.0
9555,55,73.0,2.0,277100.0
9651,46,54.0,2.0,100000.0
9701,26,50.0,2.0,88900.0
9702,26,66.0,3.0,128900.0
9703,26,66.0,3.0,129900.0
9711,35,390.0,5.0,320000.0
9761,46,26.0,1.0,89500.0
9772,35,72.0,3.0,139000.0
9773,60,178.0,3.0,1400000.0
9777,12,50.0,2.0,100000.0
9780,16,57.0,2.0,100000.0
9817,49,52.0,3.0,90000.0
9868,60,187.0,4.0,1400000.0
9871,39,40.0,2.0,125000.0
9872,31,32.0,1.0,90000.0
9878,45,46.0,2.0,130000.0
10049,24,60.0,3.0,2105040.0
10050,24,35.0,1.0,1037681.0
10106,60,187.0,3.0,1200000.0
10137,60,178.0,3.0,1130000.0
10177,24,109.0,4.0,165000.0
10198,50,230.0,5.0,660000.0
10199,53,63.0,2.0,178000.0
10200,35,120.0,4.0,320000.0
10201,53,245.0,4.0,780000.0
10216,49,78.0,3.0,249000.0
10279,1,160.0,4.0,124000.0
10338,32,99.0,2.0,199541.0
10381,54,120.0,2.0,360000.0
10449,24,64.0,3.0,120000.0
10464,33,40.0,2.0,85000.0
10483,37,155.0,3.0,160000.0
10557,4,394.0,5.0,298000.0
10619,7,98.0,3.0,105000.0
10647,32,153.0,5.0,238000.0
10655,14,94.0,3.0,289000.0
10657,53,69.0,2.0,180000.0
10659,53,188.0,4.0,540000.0
10660,46,50.0,2.0,155000.0
10662,53,188.0,5.0,395000.0
10663,53,191.0,4.0,585000.0
10665,12,192.0,4.0,290000.0
10666,54,83.0,4.0,224000.0
10669,35,200.0,3.0,270000.0
10707,10,75.0,3.0,157000.0
10708,10,75.0,3.0,157000.0
10713,54,51.0,1.0,165000.0
10714,23,300.0,4.0,460000.0
10759,7,57.0,2.0,95000.0
10760,7,67.0,2.0,102000.0
10776,24,365.0,5.0,430000.0
10777,45,84.0,3.0,190000.0
10783,4,21.0,1.0,45500.0
10815,44,59.0,1.0,115000.0
10886,37,330.0,4.0,370000.0
10899,60,157.0,3.0,1250000.0
11019,16,74.0,4.0,125000.0
11020,9,74.0,4.0,125000.0
11021,6,74.0,4.0,125000.0
11022,16,74.0,4.0,125000.0
11023,6,74.0,4.0,125000.0
11024,9,74.0,4.0,125000.0
11035,34,67.0,3.0,123000.0
11036,6,80.0,3.0,112000.0
11044,45,48.0,1.0,110000.0
11046,24,205.0,4.0,189000.0
11057,9,112.0,4.0,300000.0
11059,54,95.0,3.0,285000.0
11136,55,60.0,3.0,85000.0
11317,4,88.0,4.0,140000.0
11345,7,60.0,2.0,125000.0
11357,20,50.0,2.0,130000.0
11392,49,431.0,5.0,2250000.0
11393,56,140.0,2.0,430000.0
11394,56,100.0,2.0,210000.0
11395,54,212.0,5.0,860000.0
11423,60,179.0,3.0,1100000.0
11502,10,32.0,2.0,79900.0
11503,10,38.0,2.0,85000.0
11504,10,28.0,1.0,70000.0
11610,53,89.0,3.0,206000.0
11694,5,37.0,1.0,77000.0
11695,5,37.0,1.0,81000.0
11764,56,219.0,6.0,720000.0
11765,3,28.0,1.0,50000.0
11773,44,40.0,1.0,130000.0
11780,39,64.0,3.0,165000.0
11836,35,258.0,4.0,250000.0
11916,53,380.0,6.0,870000.0
12031,54,48.0,2.0,116000.0
12079,13,125.0,5.0,300000.0
12103,54,60.0,2.0,191358.0
12122,32,103.0,4.0,215000.0
12128,4,42.0,2.0,55000.0
12132,54,40.0,1.0,147000.0
12160,4,400.0,7.0,600000.0
12165,20,900.0,7.0,900000.0
12171,27,900.0,7.0,900000.0
12174,26,1050.0,7.0,1200000.0
12204,3,42.0,3.0,80000.0
12205,11,329.0,6.0,295000.0
12286,27,28.0,1.0,72500.0
12287,27,34.0,1.0,86000.0
12292,54,38.0,1.0,72766.0
12293,54,43.0,1.0,83015.0
12294,54,72.0,1.0,92816.0
12381,11,67.0,3.0,137000.0
12419,46,73.0,3.0,109000.0
12467,11,88.0,3.0,160000.0
12472,44,86.0,3.0,250000.0
12473,44,76.0,2.0,195000.0
12484,56,137.0,3.0,350000.0
12486,11,67.0,3.0,135000.0
12487,11,67.0,3.0,142000.0
12527,54,47.0,1.0,158909.0
12528,60,190.0,3.0,1150000.0
12529,60,212.0,4.0,1300000.0
12561,31,52.0,2.0,105000.0
12593,18,140.0,6.0,135000.0
12635,24,375.0,5.0,490000.0
12688,56,27.0,1.0,2200000.0
12689,58,72.0,2.0,175000.0
12690,58,50.0,1.0,140000.0
12691,54,120.0,3.0,900000.0
12891,51,148.0,4.0,365000.0
12972,54,38.0,1.0,72347.0
12973,54,40.0,1.0,77109.0
12974,54,71.0,1.0,94348.0
12985,54,42.0,1.0,80923.0
12986,54,59.0,2.0,114678.0
12987,54,69.0,2.0,141512.0
12988,54,71.0,2.0,145812.0
12989,54,39.0,1.0,82582.0
12990,54,38.0,1.0,82106.0
12991,54,40.0,1.0,87511.0
12992,54,43.0,1.0,92598.0
12993,54,42.0,1.0,89352.0
12994,54,59.0,2.0,126623.0
13082,55,200.0,4.0,750000.0
13084,56,397.0,5.0,1600000.0
13085,56,170.0,4.0,850000.0
13087,56,600.0,4.0,2200000.0
13111,8,90.0,4.0,180000.0
13126,18,140.0,6.0,135000.0
13132,32,301.0,5.0,420000.0
13148,53,493.0,5.0,870000.0
13150,51,137.0,4.0,287000.0
13153,10,43.0,3.0,129000.0
13181,9,225.0,5.0,630000.0
13187,45,88.0,4.0,300000.0
13188,45,70.0,3.0,237000.0
13189,45,102.0,4.0,330000.0
13190,45,88.0,4.0,290000.0
13191,45,88.0,4.0,300000.0
13192,45,88.0,4.0,310000.0
13362,53,193.0,6.0,560000.0
13390,2,324.0,5.0,390000.0
13426,49,76.0,2.0,230000.0
13433,26,33.0,1.0,145000.0
13802,54,58.0,2.0,129375.0
13803,32,86.0,3.0,210349.0
13804,32,50.0,2.0,112700.0
13805,32,73.0,3.0,182523.0
13807,53,45.0,1.0,116000.0
13808,55,39.0,1.0,168000.0
13809,53,32.0,1.0,105400.0
13845,46,78.0,3.0,235000.0
13868,60,187.0,4.0,1600000.0
13905,7,209.0,4.0,270000.0
13906,34,37.0,2.0,108000.0
13943,46,56.0,2.0,138000.0
13949,3,37.0,1.0,60200.0
13950,3,43.0,1.0,72600.0
14055,32,75.0,3.0,160000.0
14059,19,124.0,6.0,184000.0
14161,47,42.0,1.0,2093934.0
14165,26,51.0,2.0,2380342.0
14168,26,44.0,1.0,2422957.0
14169,53,38.0,1.0,2431752.0
14174,46,51.0,2.0,165000.0
14212,56,64.0,2.0,232000.0
14213,56,67.0,3.0,376000.0
14296,15,27.0,1.0,74000.0
14317,34,41.0,1.0,114800.0
14335,12,64.0,3.0,130000.0
14376,43,47.0,2.0,125000.0
14390,34,59.0,2.0,134000.0
14396,19,30.0,1.0,49900.0
14397,19,40.0,2.0,69900.0
14399,9,24.0,1.0,55000.0
14400,9,78.0,4.0,110000.0
14440,59,240.0,4.0,1200000.0
14478,53,46.0,1.0,143000.0
14485,27,155.0,5.0,325000.0
14486,50,296.0,7.0,590000.0
14614,39,44.0,2.0,158226.0
14615,39,32.0,1.0,106080.0
14616,39,34.0,1.0,104695.0
14617,39,31.0,1.0,102190.0
14618,39,34.0,1.0,100700.0
14619,39,34.0,1.0,102650.0
14620,39,34.0,1.0,104215.0
14621,39,34.0,1.0,105800.0
14622,39,34.0,1.0,106880.0
14623,39,32.0,1.0,103015.0
14624,39,38.0,1.0,99750.0
14625,39,32.0,1.0,99993.0
14626,39,32.0,1.0,101495.0
14630,39,54.0,2.0,121800.0
14631,39,42.0,2.0,111300.0
14632,55,32.0,1.0,142323.0
14633,55,32.0,1.0,145286.0
14636,53,54.0,1.0,220500.0
14637,32,39.0,1.0,89700.0
14638,32,29.0,1.0,66700.0
14639,32,46.0,1.0,105800.0
14648,35,52.0,2.0,105000.0
14659,53,54.0,1.0,210000.0
14667,58,79.0,2.0,275000.0
14742,50,200.0,4.0,390000.0
14744,53,46.0,1.0,130000.0
14759,55,32.0,1.0,148048.0
14760,55,58.0,2.0,268164.0
14761,55,98.0,3.0,383272.0
14762,55,35.0,1.0,138318.0
14763,55,35.0,1.0,141085.0
14764,55,35.0,1.0,143896.0
14766,55,35.0,1.0,152850.0
14767,55,35.0,1.0,155760.0
14768,55,97.0,3.0,379000.0
14769,55,34.0,1.0,153370.0
14770,55,34.0,1.0,156300.0
14771,55,34.0,1.0,204100.0
14772,55,80.0,2.0,310520.0
14773,55,49.0,2.0,223470.0
14774,55,49.0,2.0,253600.0
14775,55,73.0,2.0,208000.0
14816,35,98.0,4.0,140000.0
14842,53,76.0,2.0,230000.0
14843,53,76.0,3.0,230000.0
14844,49,76.0,3.0,230000.0
14855,18,371.0,6.0,270000.0
14874,6,57.0,2.0,95000.0
14896,53,373.0,5.0,780000.0
14897,53,236.0,5.0,590000.0
14944,10,30.0,1.0,88000.0
14945,6,28.0,1.0,60000.0
14950,56,205.0,5.0,900000.0
15032,47,196.0,7.0,339000.0
15072,2,181.0,3.0,180000.0
15203,16,50.0,2.0,88000.0
15220,9,160.0,6.0,300000.0
15222,9,57.0,2.0,95000.0
15223,54,244.0,6.0,480000.0
15232,53,436.0,6.0,1300000.0
15415,39,100.0,4.0,165000.0
15455,46,85.0,3.0,185000.0
15456,46,85.0,3.0,185000.0
15457,46,102.0,3.0,175000.0
15458,46,107.0,3.0,185000.0
15459,46,77.0,2.0,135000.0
15473,19,503.0,5.0,540000.0
15474,28,503.0,7.0,540000.0
15475,19,503.0,5.0,540000.0
15480,45,600.0,6.0,650000.0
15642,32,59.0,1.0,124028.0
15663,32,41.0,1.0,78800.0
15664,34,38.0,1.0,82000.0
15668,34,63.0,2.0,125000.0
15670,34,40.0,1.0,84000.0
15671,34,53.0,2.0,125000.0
15672,34,117.0,4.0,215000.0
15673,32,65.0,2.0,122000.0
15677,32,36.0,1.0,82000.0
15679,32,53.0,1.0,1647000.0
15680,32,197.0,6.0,290000.0
15692,31,140.0,3.0,350000.0
15693,39,38.0,1.0,67000.0
15696,31,50.0,2.0,125000.0
15697,34,39.0,2.0,122000.0
15704,31,50.0,2.0,122000.0
15705,34,40.0,1.0,89000.0
15706,34,50.0,2.0,125000.0
15707,34,40.0,1.0,90000.0
15709,34,44.0,2.0,129159.0
15710,32,71.0,3.0,202375.0
15711,34,50.0,2.0,139265.0
15712,34,53.0,2.0,140184.0
15714,34,38.0,2.0,84102.0
15715,34,41.0,2.0,123144.0
15716,31,34.0,1.0,99000.0
15718,34,42.0,1.0,82000.0
15722,51,157.0,4.0,580000.0
15723,54,54.0,1.0,140000.0
15724,54,52.0,1.0,140000.0
15725,32,78.0,3.0,140000.0
15726,39,160.0,4.0,371900.0
15730,32,60.0,3.0,120000.0
15731,32,70.0,3.0,160000.0
15732,32,28.0,3.0,65000.0
15733,19,503.0,7.0,400000.0
15735,34,102.0,4.0,188500.0
15736,54,98.0,4.0,320000.0
15739,34,42.0,1.0,85000.0
15743,34,42.0,1.0,88700.0
15745,18,95.0,3.0,155900.0
15746,34,36.0,2.0,84584.0
15747,34,36.0,2.0,86136.0
15762,34,77.0,3.0,240624.0
15764,34,92.0,3.0,195000.0
15765,34,92.0,3.0,170200.0
15766,34,47.0,2.0,99000.0
15811,51,70.0,3.0,205000.0
15875,15,34.0,1.0,69500.0
15935,53,73.0,2.0,299000.0
15936,53,73.0,2.0,280000.0
15951,54,82.0,3.0,290000.0
16059,54,49.0,1.0,199000.0
16090,53,66.0,3.0,180000.0
16091,51,89.0,4.0,170000.0
16134,34,54.0,2.0,141671.0
16135,34,47.0,2.0,141020.0
16136,34,50.0,2.0,137610.0
16137,34,47.0,2.0,137639.0
16138,34,50.0,2.0,141275.0
16139,34,41.0,2.0,119000.0
16156,12,97.0,4.0,179000.0
16157,11,97.0,4.0,179000.0
16163,9,62.0,3.0,114000.0
16196,12,25.0,1.0,50000.0
16208,44,260.0,7.0,289000.0
16228,54,175.0,7.0,580000.0
16303,26,97.0,4.0,255000.0
16304,10,70.0,3.0,127000.0
16305,27,83.0,3.0,143000.0
16307,19,132.0,5.0,220000.0
16308,19,222.0,6.0,375000.0
16316,51,673.0,8.0,1300000.0
16321,34,40.0,1.0,92500.0
16322,34,40.0,1.0,91000.0
16323,34,40.0,1.0,89000.0
16324,34,40.0,1.0,92000.0
16325,34,40.0,1.0,88500.0
16326,34,40.0,1.0,85500.0
16327,34,41.0,1.0,1882000.0
16328,34,41.0,1.0,1932000.0
16329,34,41.0,1.0,1983000.0
16332,34,36.0,1.0,1750000.0
16333,34,36.0,1.0,1772000.0
16334,34,36.0,1.0,1794000.0
16335,34,36.0,1.0,1817000.0
16336,34,32.0,1.0,1502000.0
16337,34,32.0,1.0,1522000.0
16338,34,32.0,1.0,1542000.0
16339,34,32.0,1.0,1561000.0
16340,34,32.0,1.0,1581000.0
16341,34,32.0,1.0,1601000.0
16342,54,37.0,2.0,85000.0
16343,54,37.0,1.0,100000.0
16345,54,37.0,2.0,90000.0
16346,54,37.0,2.0,100000.0
16364,56,41.0,2.0,154000.0
16369,54,100.0,4.0,455000.0
16371,6,45.0,1.0,110000.0
16381,50,673.0,8.0,1300000.0
16382,56,673.0,8.0,1300000.0
16385,56,210.0,7.0,370000.0
16397,39,110.0,4.0,250000.0
16441,58,100.0,4.0,252000.0
16442,54,111.0,1.0,178000.0
16498,11,108.0,4.0,180000.0
16572,12,53.0,3.0,120000.0
16595,56,89.0,1.0,163588.0
16624,3,60.0,3.0,77000.0
16625,30,69.0,2.0,135000.0
16627,54,230.0,5.0,1000000.0
16669,44,45.0,1.0,94000.0
16696,7,86.0,3.0,191600.0
16758,31,90.0,2.0,150000.0
16759,10,39.0,1.0,110900.0
16760,10,72.0,3.0,210500.0
16774,9,132.0,5.0,220000.0
16775,9,222.0,6.0,375000.0
16776,10,222.0,6.0,375000.0
16777,28,222.0,6.0,375000.0
16778,34,40.0,1.0,92000.0
16788,54,115.0,4.0,298000.0
16806,10,167.0,6.0,360000.0
16807,39,73.0,4.0,175000.0
16818,16,124.0,3.0,170000.0
16858,24,27.0,1.0,67200.0
16872,54,325.0,4.0,980000.0
16875,54,466.0,6.0,670000.0
16899,11,40.0,2.0,119800.0
16981,55,130.0,4.0,600000.0
16982,55,140.0,4.0,635000.0
16983,55,130.0,4.0,616000.0
16984,55,130.0,4.0,655000.0
16986,60,189.0,4.0,1300000.0
16999,20,72.0,2.0,168000.0
17003,13,68.0,2.0,92000.0
17066,11,260.0,5.0,280000.0
17092,9,70.0,3.0,127000.0
17093,19,70.0,3.0,127000.0
17095,53,34.0,1.0,102000.0
17096,53,34.0,1.0,102000.0
17099,38,97.0,4.0,255000.0
17109,34,178.0,5.0,410000.0
17173,44,48.0,1.0,94000.0
17174,44,53.0,2.0,106500.0
17175,44,60.0,2.0,117600.0
17176,58,42.0,1.0,135000.0
17181,32,124.0,4.0,250000.0
17182,27,27.0,1.0,70000.0
17183,10,27.0,1.0,70000.0
17184,50,57.0,2.0,107000.0
17196,39,100.0,3.0,220000.0
17198,9,98.0,4.0,245000.0
17212,23,74.0,2.0,58000.0
17213,53,349.0,5.0,1600000.0
17214,23,320.0,4.0,415000.0
17284,35,118.0,4.0,320000.0
17294,27,493.0,6.0,315000.0
17483,27,110.0,6.0,250000.0
17484,19,110.0,6.0,250000.0
17485,9,110.0,6.0,250000.0
17511,7,260.0,4.0,290000.0
17548,32,215.0,4.0,390000.0
17564,45,120.0,4.0,240000.0
17581,53,56.0,2.0,191600.0
17582,27,39.0,1.0,88000.0
17586,39,530.0,5.0,600000.0
17587,12,270.0,5.0,385000.0
17601,60,123.0,3.0,650000.0
17609,39,129.0,4.0,292000.0
17610,39,129.0,4.0,298500.0
17630,39,41.0,1.0,86000.0
17688,26,47.0,1.0,85000.0
17689,26,47.0,1.0,95000.0
17700,59,500.0,5.0,2200000.0
17716,53,80.0,1.0,750000.0
17737,19,50.0,2.0,85000.0
17791,48,60.0,2.0,97000.0
17792,48,39.0,2.0,85000.0
17906,56,190.0,4.0,745013.0
17907,56,187.0,4.0,993008.0
17908,56,187.0,4.0,974272.0
17909,56,75.0,2.0,364770.0
17910,56,84.0,2.0,356589.0
17911,56,171.0,3.0,750000.0
17912,50,171.0,3.0,750000.0
17913,60,180.0,3.0,1100000.0
17916,54,185.0,5.0,530000.0
17920,56,417.0,5.0,1000000.0
17957,20,44.0,2.0,155000.0
17989,4,56.0,2.0,1963111.0
18077,56,245.0,5.0,655000.0
18094,27,244.0,5.0,449000.0
18109,60,325.0,5.0,1490000.0
18152,60,178.0,4.0,1200000.0
18160,56,220.0,4.0,785000.0
18174,49,106.0,3.0,322000.0
18175,39,37.0,1.0,102700.0
18176,39,47.0,1.0,119700.0
18177,39,40.0,1.0,106800.0
18178,16,32.0,1.0,1400000.0
