NS,surface_total_in_m2,rooms,price
39,64.0,3.0,125000.0
27,28.0,1.0,82000.0
27,37.0,1.0,75000.0
34,110.0,2.0,159000.0
6,65.0,2.0,119000.0
39,77.0,4.0,150000.0
6,213.0,5.0,240000.0
6,82.0,3.0,145000.0
34,160.0,4.0,340000.0
32,109.0,4.0,255000.0
11,185.0,5.0,300000.0
6,170.0,7.0,250000.0
39,121.0,4.0,150000.0
56,34.0,1.0,92000.0
2,337.0,6.0,230000.0
54,38.0,1.0,1716200.0
11,132.0,4.0,110000.0
26,68.0,3.0,124000.0
54,250.0,4.0,280000.0
25,51.0,1.0,120000.0
60,178.0,3.0,1400000.0
32,53.0,2.0,117700.0
56,210.0,5.0,410000.0
46,53.0,2.0,565000.0
46,49.0,2.0,560000.0
46,49.0,2.0,580000.0
46,49.0,2.0,580000.0
46,49.0,2.0,615000.0
46,42.0,2.0,440000.0
46,47.0,2.0,640000.0
46,63.0,1.0,704000.0
46,38.0,2.0,385000.0
54,35.0,1.0,418000.0
54,48.0,1.0,94800.0
54,65.0,3.0,138000.0
46,57.0,2.0,95000.0
19,65.0,3.0,95000.0
2,94.0,3.0,83000.0
2,50.0,1.0,35000.0
2,56.0,3.0,55000.0
2,65.0,3.0,64500.0
24,80.0,4.0,145000.0
5,56.0,2.0,85000.0
2,75.0,3.0,75000.0
39,150.0,4.0,120000.0
27,85.0,4.0,98000.0
51,45.0,2.0,75000.0
14,40.0,2.0,75000.0
16,57.0,2.0,75000.0
39,82.0,3.0,120000.0
18,60.0,3.0,115000.0
27,85.0,4.0,98000.0
9,106.0,4.0,135000.0
13,65.0,2.0,129500.0
41,64.0,2.0,96500.0
46,85.0,3.0,167000.0
41,47.0,2.0,91500.0
39,100.0,4.0,199500.0
39,150.0,4.0,120000.0
41,46.0,2.0,99000.0
41,54.0,2.0,112000.0
5,44.0,2.0,95000.0
20,40.0,2.0,98000.0
2,274.0,5.0,350000.0
36,67.0,3.0,64000.0
53,80.0,3.0,175000.0
13,36.0,2.0,84000.0
53,960.0,7.0,1880000.0
54,133.0,4.0,655000.0
54,158.0,4.0,810000.0
54,133.0,4.0,635000.0
12,65.0,3.0,157000.0
12,38.0,1.0,98000.0
12,39.0,1.0,97000.0
12,65.0,3.0,171000.0
12,65.0,3.0,182000.0
9,55.0,3.0,102000.0
6,138.0,4.0,300000.0
56,237.0,6.0,910000.0
14,92.0,4.0,185000.0
32,225.0,5.0,295000.0
32,330.0,6.0,450000.0
54,110.0,2.0,159000.0
49,125.0,4.0,380000.0
13,77.0,3.0,150000.0
15,23.0,1.0,69000.0
15,25.0,1.0,69000.0
38,33.0,1.0,78000.0
38,37.0,1.0,85000.0
2,182.0,3.0,150000.0
30,45.0,2.0,75000.0
51,30.0,2.0,90000.0
13,47.0,1.0,70000.0
13,48.0,1.0,72000.0
13,33.0,1.0,57000.0
13,28.0,1.0,60000.0
5,221.0,7.0,185000.0
12,70.0,3.0,92500.0
13,26.0,1.0,63000.0
2,160.0,4.0,150000.0
46,35.0,1.0,98900.0
32,33.0,1.0,74000.0
32,33.0,1.0,74000.0
32,33.0,1.0,76000.0
12,43.0,2.0,65000.0
55,125.0,4.0,250000.0
53,73.0,3.0,350000.0
60,177.0,4.0,1300000.0
11,120.0,3.0,210000.0
37,346.0,5.0,780000.0
37,190.0,3.0,220000.0
6,27.0,2.0,59000.0
45,60.0,2.0,79000.0
26,80.0,2.0,105000.0
53,39.0,2.0,115000.0
41,57.0,3.0,115000.0
54,330.0,5.0,480000.0
51,38.0,1.0,89000.0
13,45.0,2.0,116000.0
13,170.0,5.0,220000.0
15,33.0,1.0,74000.0
15,33.0,1.0,69000.0
15,33.0,1.0,71000.0
15,43.0,2.0,95000.0
15,43.0,2.0,98000.0
15,55.0,2.0,99000.0
15,60.0,2.0,99000.0
15,68.0,3.0,105500.0
15,65.0,3.0,122000.0
13,22.0,1.0,55000.0
13,28.0,1.0,55000.0
13,48.0,1.0,70000.0
13,52.0,1.0,75000.0
13,43.0,1.0,70000.0
13,46.0,1.0,75000.0
13,49.0,1.0,75000.0
13,50.0,1.0,75000.0
56,140.0,5.0,295000.0
10,140.0,5.0,295000.0
51,140.0,5.0,295000.0
55,44.0,2.0,178600.0
49,90.0,3.0,439000.0
54,185.0,5.0,450000.0
49,136.0,5.0,749000.0
36,35.0,2.0,55000.0
54,917.0,6.0,480000.0
55,180.0,4.0,380000.0
16,45.0,2.0,80000.0
38,47.0,1.0,85000.0
27,40.0,1.0,70000.0
4,55.0,2.0,70000.0
13,94.0,4.0,165000.0
49,58.0,1.0,168000.0
49,39.0,1.0,133000.0
44,56.0,2.0,158000.0
46,132.0,4.0,262000.0
46,137.0,4.0,260000.0
49,40.0,1.0,140000.0
53,43.0,1.0,170000.0
39,92.0,3.0,225000.0
49,90.0,2.0,130000.0
34,72.0,3.0,220000.0
34,72.0,3.0,220000.0
36,65.0,3.0,59500.0
60,150.0,3.0,750000.0
32,123.0,2.0,222752.0
32,65.0,2.0,205021.0
32,41.0,1.0,115260.0
32,41.0,1.0,102438.0
32,65.0,2.0,202991.0
32,65.0,2.0,202991.0
32,38.0,1.0,120861.0
32,88.0,3.0,249841.0
32,121.0,4.0,381566.0
32,121.0,4.0,381566.0
32,146.0,3.0,308577.0
32,199.0,4.0,404978.0
32,38.0,1.0,120861.0
32,89.0,3.0,253244.0
32,89.0,3.0,255776.0
35,353.0,5.0,320000.0
53,166.0,4.0,450000.0
16,63.0,3.0,122000.0
12,38.0,2.0,65000.0
27,33.0,1.0,66000.0
16,36.0,1.0,1305000.0
41,58.0,3.0,159900.0
32,106.0,5.0,260000.0
6,53.0,3.0,95000.0
32,106.0,5.0,260000.0
12,63.0,2.0,120000.0
19,36.0,2.0,71900.0
7,41.0,2.0,67000.0
7,55.0,2.0,87000.0
7,34.0,1.0,69000.0
7,32.0,1.0,69000.0
7,59.0,2.0,89000.0
34,60.0,2.0,85000.0
39,344.0,5.0,450000.0
7,50.0,2.0,90000.0
7,58.0,3.0,102000.0
7,67.0,3.0,105000.0
7,67.0,2.0,92000.0
7,56.0,2.0,94000.0
46,77.0,2.0,175000.0
35,124.0,3.0,125000.0
4,55.0,1.0,89000.0
39,400.0,7.0,670000.0
6,250.0,5.0,290000.0
6,85.0,3.0,130000.0
53,95.0,3.0,322000.0
34,80.0,3.0,130000.0
54,29.0,1.0,95000.0
10,45.0,2.0,83500.0
51,125.0,2.0,320000.0
12,133.0,4.0,250000.0
26,98.0,4.0,255000.0
60,178.0,4.0,1200000.0
20,441.0,7.0,595000.0
60,42.0,1.0,205000.0
19,45.0,2.0,83500.0
56,125.0,2.0,320000.0
49,95.0,3.0,322000.0
51,317.0,5.0,580000.0
19,42.0,2.0,102500.0
19,45.0,2.0,100100.0
49,93.0,3.0,315000.0
19,43.0,2.0,100400.0
16,42.0,2.0,95015.0
16,45.0,2.0,97700.0
16,44.0,2.0,100143.0
16,41.0,2.0,99015.0
4,70.0,3.0,120000.0
55,92.0,3.0,378900.0
55,73.0,2.0,277100.0
46,54.0,2.0,100000.0
26,50.0,2.0,88900.0
26,66.0,3.0,128900.0
26,66.0,3.0,129900.0
35,390.0,5.0,320000.0
46,26.0,1.0,89500.0
35,72.0,3.0,139000.0
60,178.0,3.0,1400000.0
12,50.0,2.0,100000.0
16,57.0,2.0,100000.0
49,52.0,3.0,90000.0
60,187.0,4.0,1400000.0
39,40.0,2.0,125000.0
31,32.0,1.0,90000.0
45,46.0,2.0,130000.0
24,60.0,3.0,2105040.0
24,35.0,1.0,1037681.0
60,187.0,3.0,1200000.0
60,178.0,3.0,1130000.0
24,109.0,4.0,165000.0
50,230.0,5.0,660000.0
53,63.0,2.0,178000.0
35,120.0,4.0,320000.0
53,245.0,4.0,780000.0
49,78.0,3.0,249000.0
1,160.0,4.0,124000.0
32,99.0,2.0,199541.0
54,120.0,2.0,360000.0
24,64.0,3.0,120000.0
33,40.0,2.0,85000.0
37,155.0,3.0,160000.0
4,394.0,5.0,298000.0
7,98.0,3.0,105000.0
32,153.0,5.0,238000.0
14,94.0,3.0,289000.0
53,69.0,2.0,180000.0
53,188.0,4.0,540000.0
46,50.0,2.0,155000.0
53,188.0,5.0,395000.0
53,191.0,4.0,585000.0
12,192.0,4.0,290000.0
54,83.0,4.0,224000.0
35,200.0,3.0,270000.0
10,75.0,3.0,157000.0
10,75.0,3.0,157000.0
54,51.0,1.0,165000.0
23,300.0,4.0,460000.0
7,57.0,2.0,95000.0
7,67.0,2.0,102000.0
24,365.0,5.0,430000.0
45,84.0,3.0,190000.0
4,21.0,1.0,45500.0
44,59.0,1.0,115000.0
37,330.0,4.0,370000.0
60,157.0,3.0,1250000.0
16,74.0,4.0,125000.0
9,74.0,4.0,125000.0
6,74.0,4.0,125000.0
16,74.0,4.0,125000.0
6,74.0,4.0,125000.0
9,74.0,4.0,125000.0
34,67.0,3.0,123000.0
6,80.0,3.0,112000.0
45,48.0,1.0,110000.0
24,205.0,4.0,189000.0
9,112.0,4.0,300000.0
54,95.0,3.0,285000.0
55,60.0,3.0,85000.0
4,88.0,4.0,140000.0
7,60.0,2.0,125000.0
20,50.0,2.0,130000.0
49,431.0,5.0,2250000.0
56,140.0,2.0,430000.0
56,100.0,2.0,210000.0
54,212.0,5.0,860000.0
60,179.0,3.0,1100000.0
10,32.0,2.0,79900.0
10,38.0,2.0,85000.0
10,28.0,1.0,70000.0
53,89.0,3.0,206000.0
5,37.0,1.0,77000.0
5,37.0,1.0,81000.0
56,219.0,6.0,720000.0
3,28.0,1.0,50000.0
44,40.0,1.0,130000.0
39,64.0,3.0,165000.0
35,258.0,4.0,250000.0
53,380.0,6.0,870000.0
54,48.0,2.0,116000.0
13,125.0,5.0,300000.0
54,60.0,2.0,191358.0
32,103.0,4.0,215000.0
4,42.0,2.0,55000.0
54,40.0,1.0,147000.0
4,400.0,7.0,600000.0
20,900.0,7.0,900000.0
27,900.0,7.0,900000.0
26,1050.0,7.0,1200000.0
3,42.0,3.0,80000.0
11,329.0,6.0,295000.0
27,28.0,1.0,72500.0
27,34.0,1.0,86000.0
54,38.0,1.0,72766.0
54,43.0,1.0,83015.0
54,72.0,1.0,92816.0
11,67.0,3.0,137000.0
46,73.0,3.0,109000.0
11,88.0,3.0,160000.0
44,86.0,3.0,250000.0
44,76.0,2.0,195000.0
56,137.0,3.0,350000.0
11,67.0,3.0,135000.0
11,67.0,3.0,142000.0
54,47.0,1.0,158909.0
60,190.0,3.0,1150000.0
60,212.0,4.0,1300000.0
31,52.0,2.0,105000.0
18,140.0,6.0,135000.0
24,375.0,5.0,490000.0
56,27.0,1.0,2200000.0
58,72.0,2.0,175000.0
58,50.0,1.0,140000.0
54,120.0,3.0,900000.0
51,148.0,4.0,365000.0
54,38.0,1.0,72347.0
54,40.0,1.0,77109.0
54,71.0,1.0,94348.0
54,42.0,1.0,80923.0
54,59.0,2.0,114678.0
54,69.0,2.0,141512.0
54,71.0,2.0,145812.0
54,39.0,1.0,82582.0
54,38.0,1.0,82106.0
54,40.0,1.0,87511.0
54,43.0,1.0,92598.0
54,42.0,1.0,89352.0
54,59.0,2.0,126623.0
55,200.0,4.0,750000.0
56,397.0,5.0,1600000.0
56,170.0,4.0,850000.0
56,600.0,4.0,2200000.0
8,90.0,4.0,180000.0
18,140.0,6.0,135000.0
32,301.0,5.0,420000.0
53,493.0,5.0,870000.0
51,137.0,4.0,287000.0
10,43.0,3.0,129000.0
9,225.0,5.0,630000.0
45,88.0,4.0,300000.0
45,70.0,3.0,237000.0
45,102.0,4.0,330000.0
45,88.0,4.0,290000.0
45,88.0,4.0,300000.0
45,88.0,4.0,310000.0
53,193.0,6.0,560000.0
2,324.0,5.0,390000.0
49,76.0,2.0,230000.0
26,33.0,1.0,145000.0
54,58.0,2.0,129375.0
32,86.0,3.0,210349.0
32,50.0,2.0,112700.0
32,73.0,3.0,182523.0
53,45.0,1.0,116000.0
55,39.0,1.0,168000.0
53,32.0,1.0,105400.0
46,78.0,3.0,235000.0
60,187.0,4.0,1600000.0
7,209.0,4.0,270000.0
34,37.0,2.0,108000.0
46,56.0,2.0,138000.0
3,37.0,1.0,60200.0
3,43.0,1.0,72600.0
32,75.0,3.0,160000.0
19,124.0,6.0,184000.0
47,42.0,1.0,2093934.0
26,51.0,2.0,2380342.0
26,44.0,1.0,2422957.0
53,38.0,1.0,2431752.0
46,51.0,2.0,165000.0
56,64.0,2.0,232000.0
56,67.0,3.0,376000.0
15,27.0,1.0,74000.0
34,41.0,1.0,114800.0
12,64.0,3.0,130000.0
43,47.0,2.0,125000.0
34,59.0,2.0,134000.0
19,30.0,1.0,49900.0
19,40.0,2.0,69900.0
9,24.0,1.0,55000.0
9,78.0,4.0,110000.0
59,240.0,4.0,1200000.0
53,46.0,1.0,143000.0
27,155.0,5.0,325000.0
50,296.0,7.0,590000.0
39,44.0,2.0,158226.0
39,32.0,1.0,106080.0
39,34.0,1.0,104695.0
39,31.0,1.0,102190.0
39,34.0,1.0,100700.0
39,34.0,1.0,102650.0
39,34.0,1.0,104215.0
39,34.0,1.0,105800.0
39,34.0,1.0,106880.0
39,32.0,1.0,103015.0
39,38.0,1.0,99750.0
39,32.0,1.0,99993.0
39,32.0,1.0,101495.0
39,54.0,2.0,121800.0
39,42.0,2.0,111300.0
55,32.0,1.0,142323.0
55,32.0,1.0,145286.0
53,54.0,1.0,220500.0
32,39.0,1.0,89700.0
32,29.0,1.0,66700.0
32,46.0,1.0,105800.0
35,52.0,2.0,105000.0
53,54.0,1.0,210000.0
58,79.0,2.0,275000.0
50,200.0,4.0,390000.0
53,46.0,1.0,130000.0
55,32.0,1.0,148048.0
55,58.0,2.0,268164.0
55,98.0,3.0,383272.0
55,35.0,1.0,138318.0
55,35.0,1.0,141085.0
55,35.0,1.0,143896.0
55,35.0,1.0,152850.0
55,35.0,1.0,155760.0
55,97.0,3.0,379000.0
55,34.0,1.0,153370.0
55,34.0,1.0,156300.0
55,34.0,1.0,204100.0
55,80.0,2.0,310520.0
55,49.0,2.0,223470.0
55,49.0,2.0,253600.0
55,73.0,2.0,208000.0
35,98.0,4.0,140000.0
53,76.0,2.0,230000.0
53,76.0,3.0,230000.0
49,76.0,3.0,230000.0
18,371.0,6.0,270000.0
6,57.0,2.0,95000.0
53,373.0,5.0,780000.0
53,236.0,5.0,590000.0
10,30.0,1.0,88000.0
6,28.0,1.0,60000.0
56,205.0,5.0,900000.0
47,196.0,7.0,339000.0
2,181.0,3.0,180000.0
16,50.0,2.0,88000.0
9,160.0,6.0,300000.0
9,57.0,2.0,95000.0
54,244.0,6.0,480000.0
53,436.0,6.0,1300000.0
39,100.0,4.0,165000.0
46,85.0,3.0,185000.0
46,85.0,3.0,185000.0
46,102.0,3.0,175000.0
46,107.0,3.0,185000.0
46,77.0,2.0,135000.0
19,503.0,5.0,540000.0
28,503.0,7.0,540000.0
19,503.0,5.0,540000.0
45,600.0,6.0,650000.0
32,59.0,1.0,124028.0
32,41.0,1.0,78800.0
34,38.0,1.0,82000.0
34,63.0,2.0,125000.0
34,40.0,1.0,84000.0
34,53.0,2.0,125000.0
34,117.0,4.0,215000.0
32,65.0,2.0,122000.0
32,36.0,1.0,82000.0
32,53.0,1.0,1647000.0
32,197.0,6.0,290000.0
31,140.0,3.0,350000.0
39,38.0,1.0,67000.0
31,50.0,2.0,125000.0
34,39.0,2.0,122000.0
31,50.0,2.0,122000.0
34,40.0,1.0,89000.0
34,50.0,2.0,125000.0
34,40.0,1.0,90000.0
34,44.0,2.0,129159.0
32,71.0,3.0,202375.0
34,50.0,2.0,139265.0
34,53.0,2.0,140184.0
34,38.0,2.0,84102.0
34,41.0,2.0,123144.0
31,34.0,1.0,99000.0
34,42.0,1.0,82000.0
51,157.0,4.0,580000.0
54,54.0,1.0,140000.0
54,52.0,1.0,140000.0
32,78.0,3.0,140000.0
39,160.0,4.0,371900.0
32,60.0,3.0,120000.0
32,70.0,3.0,160000.0
32,28.0,3.0,65000.0
19,503.0,7.0,400000.0
34,102.0,4.0,188500.0
54,98.0,4.0,320000.0
34,42.0,1.0,85000.0
34,42.0,1.0,88700.0
18,95.0,3.0,155900.0
34,36.0,2.0,84584.0
34,36.0,2.0,86136.0
34,77.0,3.0,240624.0
34,92.0,3.0,195000.0
34,92.0,3.0,170200.0
34,47.0,2.0,99000.0
51,70.0,3.0,205000.0
15,34.0,1.0,69500.0
53,73.0,2.0,299000.0
53,73.0,2.0,280000.0
54,82.0,3.0,290000.0
54,49.0,1.0,199000.0
53,66.0,3.0,180000.0
51,89.0,4.0,170000.0
34,54.0,2.0,141671.0
34,47.0,2.0,141020.0
34,50.0,2.0,137610.0
34,47.0,2.0,137639.0
34,50.0,2.0,141275.0
34,41.0,2.0,119000.0
12,97.0,4.0,179000.0
11,97.0,4.0,179000.0
9,62.0,3.0,114000.0
12,25.0,1.0,50000.0
44,260.0,7.0,289000.0
54,175.0,7.0,580000.0
26,97.0,4.0,255000.0
10,70.0,3.0,127000.0
27,83.0,3.0,143000.0
19,132.0,5.0,220000.0
19,222.0,6.0,375000.0
51,673.0,8.0,1300000.0
34,40.0,1.0,92500.0
34,40.0,1.0,91000.0
34,40.0,1.0,89000.0
34,40.0,1.0,92000.0
34,40.0,1.0,88500.0
34,40.0,1.0,85500.0
34,41.0,1.0,1882000.0
34,41.0,1.0,1932000.0
34,41.0,1.0,1983000.0
34,36.0,1.0,1750000.0
34,36.0,1.0,1772000.0
34,36.0,1.0,1794000.0
34,36.0,1.0,1817000.0
34,32.0,1.0,1502000.0
34,32.0,1.0,1522000.0
34,32.0,1.0,1542000.0
34,32.0,1.0,1561000.0
34,32.0,1.0,1581000.0
34,32.0,1.0,1601000.0
54,37.0,2.0,85000.0
54,37.0,1.0,100000.0
54,37.0,2.0,90000.0
54,37.0,2.0,100000.0
56,41.0,2.0,154000.0
54,100.0,4.0,455000.0
6,45.0,1.0,110000.0
50,673.0,8.0,1300000.0
56,673.0,8.0,1300000.0
56,210.0,7.0,370000.0
39,110.0,4.0,250000.0
58,100.0,4.0,252000.0
54,111.0,1.0,178000.0
11,108.0,4.0,180000.0
12,53.0,3.0,120000.0
56,89.0,1.0,163588.0
3,60.0,3.0,77000.0
30,69.0,2.0,135000.0
54,230.0,5.0,1000000.0
44,45.0,1.0,94000.0
7,86.0,3.0,191600.0
31,90.0,2.0,150000.0
10,39.0,1.0,110900.0
10,72.0,3.0,210500.0
9,132.0,5.0,220000.0
9,222.0,6.0,375000.0
10,222.0,6.0,375000.0
28,222.0,6.0,375000.0
34,40.0,1.0,92000.0
54,115.0,4.0,298000.0
10,167.0,6.0,360000.0
39,73.0,4.0,175000.0
16,124.0,3.0,170000.0
24,27.0,1.0,67200.0
54,325.0,4.0,980000.0
54,466.0,6.0,670000.0
11,40.0,2.0,119800.0
55,130.0,4.0,600000.0
55,140.0,4.0,635000.0
55,130.0,4.0,616000.0
55,130.0,4.0,655000.0
60,189.0,4.0,1300000.0
20,72.0,2.0,168000.0
13,68.0,2.0,92000.0
11,260.0,5.0,280000.0
9,70.0,3.0,127000.0
19,70.0,3.0,127000.0
53,34.0,1.0,102000.0
53,34.0,1.0,102000.0
38,97.0,4.0,255000.0
34,178.0,5.0,410000.0
44,48.0,1.0,94000.0
44,53.0,2.0,106500.0
44,60.0,2.0,117600.0
58,42.0,1.0,135000.0
32,124.0,4.0,250000.0
27,27.0,1.0,70000.0
10,27.0,1.0,70000.0
50,57.0,2.0,107000.0
39,100.0,3.0,220000.0
9,98.0,4.0,245000.0
23,74.0,2.0,58000.0
53,349.0,5.0,1600000.0
23,320.0,4.0,415000.0
35,118.0,4.0,320000.0
27,493.0,6.0,315000.0
27,110.0,6.0,250000.0
19,110.0,6.0,250000.0
9,110.0,6.0,250000.0
7,260.0,4.0,290000.0
32,215.0,4.0,390000.0
45,120.0,4.0,240000.0
53,56.0,2.0,191600.0
27,39.0,1.0,88000.0
39,530.0,5.0,600000.0
12,270.0,5.0,385000.0
60,123.0,3.0,650000.0
39,129.0,4.0,292000.0
39,129.0,4.0,298500.0
39,41.0,1.0,86000.0
26,47.0,1.0,85000.0
26,47.0,1.0,95000.0
59,500.0,5.0,2200000.0
53,80.0,1.0,750000.0
19,50.0,2.0,85000.0
48,60.0,2.0,97000.0
48,39.0,2.0,85000.0
56,190.0,4.0,745013.0
56,187.0,4.0,993008.0
56,187.0,4.0,974272.0
56,75.0,2.0,364770.0
56,84.0,2.0,356589.0
56,171.0,3.0,750000.0
50,171.0,3.0,750000.0
60,180.0,3.0,1100000.0
54,185.0,5.0,530000.0
56,417.0,5.0,1000000.0
20,44.0,2.0,155000.0
4,56.0,2.0,1963111.0
56,245.0,5.0,655000.0
27,244.0,5.0,449000.0
60,325.0,5.0,1490000.0
60,178.0,4.0,1200000.0
56,220.0,4.0,785000.0
49,106.0,3.0,322000.0
39,37.0,1.0,102700.0
39,47.0,1.0,119700.0
39,40.0,1.0,106800.0
16,32.0,1.0,1400000.0
20,49.0,1.0,1836000.0
16,34.0,1.0,92400.0
54,51.0,2.0,165000.0
7,44.0,1.0,100000.0
7,87.0,2.0,172000.0
16,33.0,1.0,92400.0
16,33.0,1.0,90200.0
12,65.0,3.0,157000.0
12,39.0,1.0,92000.0
12,65.0,3.0,171000.0
35,49.0,1.0,1908000.0
16,46.0,2.0,1870000.0
25,36.0,1.0,75000.0
39,44.0,1.0,118600.0
7,35.0,1.0,90500.0
32,33.0,2.0,82000.0
49,104.0,3.0,315000.0
39,44.0,1.0,114500.0
7,32.0,1.0,83500.0
16,36.0,1.0,76800.0
54,28.0,1.0,75000.0
34,44.0,1.0,118125.0
34,44.0,1.0,118125.0
51,28.0,1.0,75000.0
48,40.0,2.0,87000.0
54,80.0,3.0,280000.0
4,200.0,4.0,220000.0
53,73.0,3.0,340000.0
17,570.0,6.0,410000.0
25,570.0,6.0,410000.0
17,570.0,6.0,410000.0
12,570.0,6.0,410000.0
25,570.0,6.0,410000.0
54,225.0,5.0,800000.0
46,72.0,3.0,197000.0
9,82.0,3.0,235000.0
39,32.0,1.0,72000.0
46,60.0,2.0,138000.0
56,96.0,2.0,450000.0
20,77.0,1.0,130000.0
46,43.0,2.0,120000.0
37,173.0,4.0,325000.0
56,46.0,2.0,80000.0
34,104.0,4.0,480000.0
34,214.0,6.0,325000.0
35,144.0,6.0,178000.0
6,61.0,3.0,130000.0
56,97.0,4.0,270000.0
53,400.0,5.0,1900000.0
53,220.0,3.0,960000.0
32,429.0,5.0,390000.0
51,181.0,4.0,1200000.0
53,45.0,1.0,149900.0
34,49.0,2.0,89900.0
9,171.0,6.0,215000.0
39,40.0,1.0,125000.0
39,53.0,2.0,129500.0
39,79.0,3.0,220990.0
39,133.0,4.0,375200.0
58,72.0,3.0,251280.0
58,69.0,3.0,234600.0
58,69.0,3.0,231150.0
11,95.0,4.0,135000.0
12,220.0,6.0,320000.0
9,230.0,8.0,298500.0
54,220.0,5.0,399800.0
32,160.0,6.0,270000.0
56,134.0,3.0,684618.0
46,35.0,1.0,1781541.0
18,370.0,7.0,295000.0
27,65.0,3.0,295000.0
12,160.0,4.0,245000.0
54,246.0,6.0,520000.0
54,74.0,3.0,181229.0
51,220.0,5.0,680000.0
53,100.0,3.0,388500.0
4,23.0,1.0,45000.0
12,80.0,4.0,170000.0
39,50.0,1.0,99360.0
51,130.0,3.0,320000.0
47,47.0,1.0,157259.0
47,67.0,1.0,225711.0
47,95.0,3.0,301077.0
27,83.0,4.0,175000.0
54,51.0,2.0,147900.0
56,160.0,6.0,395000.0
54,293.0,4.0,890000.0
12,83.0,4.0,155000.0
54,51.0,2.0,149700.0
54,60.0,2.0,173500.0
54,50.0,2.0,155500.0
54,51.0,2.0,149500.0
54,43.0,1.0,155000.0
54,43.0,2.0,155000.0
54,43.0,1.0,120000.0
54,43.0,2.0,120000.0
54,43.0,1.0,155000.0
54,43.0,2.0,155000.0
54,43.0,1.0,120000.0
54,43.0,2.0,120000.0
53,225.0,4.0,1890000.0
19,36.0,1.0,98000.0
39,67.0,3.0,140000.0
9,61.0,2.0,108000.0
9,160.0,4.0,260000.0
19,160.0,4.0,260000.0
44,54.0,2.0,110000.0
59,478.0,5.0,1490000.0
56,220.0,5.0,670000.0
9,39.0,1.0,95000.0
46,240.0,5.0,345000.0
12,70.0,3.0,90000.0
50,502.0,6.0,1250000.0
56,87.0,4.0,250000.0
56,95.0,3.0,300000.0
41,157.0,4.0,310000.0
20,51.0,2.0,120000.0
20,51.0,2.0,135000.0
56,40.0,1.0,200000.0
56,190.0,4.0,820000.0
13,218.0,4.0,208000.0
18,220.0,3.0,233000.0
19,240.0,7.0,210000.0
19,240.0,7.0,210000.0
49,106.0,3.0,322000.0
56,160.0,6.0,490000.0
56,70.0,1.0,143900.0
56,89.0,1.0,163000.0
10,297.0,7.0,370000.0
60,90.0,3.0,440000.0
13,45.0,3.0,115000.0
35,99.0,2.0,192751.0
35,35.0,1.0,83331.0
10,25.0,1.0,73000.0
54,51.0,2.0,110000.0
53,153.0,4.0,395000.0
54,93.0,3.0,238000.0
9,38.0,2.0,79000.0
9,108.0,3.0,180000.0
32,76.0,3.0,147000.0
11,29.0,1.0,56000.0
53,305.0,4.0,1090000.0
46,38.0,1.0,104490.0
39,95.0,4.0,225000.0
46,60.0,2.0,165000.0
10,75.0,3.0,155000.0
19,50.0,2.0,110000.0
56,135.0,3.0,530000.0
51,135.0,3.0,530000.0
51,135.0,3.0,530000.0
56,135.0,3.0,530000.0
56,135.0,3.0,530000.0
51,135.0,3.0,530000.0
